date,code,score,pool_rank,w,my_ma50_gap,my_struct_gap,my_dd_from_high_21,my_atr_pct
2018-03-29,US.AAPL,1.0,1.0,1.0,-0.021072636105479714,-0.0381988318058238,-0.07671142417717103,0.025032781026971294
2018-04-02,US.AAPL,1.0,1.0,1.0,-0.026143794185679137,-0.03350431965483435,-0.08276469293065647,0.026080770684576076
2018-04-03,US.AAPL,1.0,1.0,1.0,-0.01507725268306992,-0.03586317477338387,-0.07335461148771749,0.025648791499064193
2018-04-04,US.AAPL,1.0,1.0,1.0,0.004305521045195437,-0.029905017190300656,-0.055635042922788536,0.027053035540279644
2018-04-05,US.AAPL,1.0,1.0,1.0,0.011686655824841408,-0.021739004628210695,-0.04908650670023684,0.02705274471017568
2018-04-06,US.AAPL,1.0,1.0,1.0,-0.013598155227254272,-0.01905511343262423,-0.0734096412143248,0.029077935963955446
2018-04-09,US.AAPL,1.0,1.0,1.0,-0.0037723485599089335,-0.011984710379775991,-0.0642196786308824,0.02893938757727509
2018-04-10,US.AAPL,1.0,1.0,1.0,0.014684997577699033,-0.0037085137101206594,-0.046610169495701514,0.02926654298307428
2018-04-11,US.AAPL,1.0,1.0,1.0,0.009330724543190616,-0.0005799118534011582,-0.04184030671457917,0.028676226929179777
2018-04-12,US.AAPL,1.0,1.0,1.0,0.01834564137356276,0.002199379806570208,-0.025244892246669592,0.027772810057066333
2018-04-13,US.AAPL,1.0,1.0,1.0,0.020843126819060087,0.010582040863206611,-0.021942345354109327,0.02645673733667479
2018-04-16,US.AAPL,1.0,1.0,1.0,0.02616562189372651,0.017705608011507196,-0.012358162004298734,0.023570778558222
2018-04-19,US.AAPL,1.0,1.0,1.0,0.002593251958684206,0.026443865748822723,-0.030520646314930344,0.02063740079412671
2018-04-20,US.AAPL,1.0,1.0,1.0,-0.03924642866583816,0.01764421917104697,-0.07024236984832588,0.022769042448578934
2018-04-23,US.AAPL,1.0,1.0,1.0,-0.04321845469065255,0.004799080130676481,-0.07293536804343692,0.02238735000470176
2018-05-01,US.AAPL,1.0,1.0,1.0,-0.01987378339215984,-0.030263157896064076,-0.051279174154639784,0.0211147250197606
2018-05-15,US.AAPL,1.0,1.0,1.0,0.07275775917916172,0.0669658262608127,-0.015160318166423048,0.020392204480968804
2018-05-17,US.AAPL,1.0,1.0,1.0,0.07285794726901895,0.059014942803040454,-0.012255030534669253,0.01994002532653524
2018-05-18,US.AAPL,1.0,1.0,1.0,0.06772513240234268,0.05108622813388444,-0.01584702251778658,0.018586999598955614
2018-05-22,US.AAPL,1.0,1.0,1.0,0.07081926957443607,0.038279244036526015,-0.011357032533280131,0.015647259971333618
2018-05-31,US.AAPL,1.0,1.0,1.0,0.061166089854330474,0.0064540232633973895,-0.012888911462306973,0.012094045511381813
2018-06-08,US.AAPL,1.0,1.0,1.0,0.07086640188214521,0.01976786645761685,-0.011753789059202768,0.012674193305485401
2018-06-11,US.AAPL,1.0,1.0,1.0,0.06537301671981344,0.01849866652652945,-0.014176719254912817,0.012257117453512269
2018-06-13,US.AAPL,1.0,1.0,1.0,0.05662818382821966,0.01183009963150385,-0.01690895969536199,0.011939471119942405
2018-06-14,US.AAPL,1.0,1.0,1.0,0.054861983363348354,0.008349056605220487,-0.016393442620796894,0.011454028151473464
2018-06-15,US.AAPL,1.0,1.0,1.0,0.04210113613321442,0.0049168608350511015,-0.026497577085188073,0.01177716585535364
2018-06-18,US.AAPL,1.0,1.0,1.0,0.039140054122385415,0.0016371728302471318,-0.027013094137854687,0.011836388682891892
2018-06-19,US.AAPL,1.0,1.0,1.0,0.020516852103982908,-0.0049114114902187945,-0.04273636457266616,0.013596393374255979
2018-06-20,US.AAPL,1.0,1.0,1.0,0.02340312248579357,-0.009217158174657037,-0.03856067636723126,0.013315204902374029
2018-06-21,US.AAPL,1.0,1.0,1.0,0.01617030823381249,-0.014245659441846565,-0.04392205383321668,0.013397575141611268
2018-06-22,US.AAPL,1.0,1.0,1.0,0.011941947647705176,-0.017653579925410837,-0.04670584597017324,0.012768455857279601
2018-06-25,US.AAPL,1.0,1.0,1.0,-0.003991138194102795,-0.023373771751781684,-0.06088256522508617,0.013776770521146646
2018-06-26,US.AAPL,1.0,1.0,1.0,0.0073425366851551654,-0.023512985958245518,-0.049231879580796334,0.014459996437475468
2018-06-27,US.AAPL,1.0,1.0,1.0,0.005142622694886301,-0.02518190703776329,-0.05062377564927478,0.015018384634474495
2018-06-28,US.AAPL,1.0,1.0,1.0,0.011535083600294982,-0.024587601077418267,-0.043715847003390707,0.014417019637481095
2018-06-29,US.AAPL,1.0,1.0,1.0,0.007982186814406989,-0.023048457675637575,-0.04572636356134707,0.015419789006355135
2018-07-02,US.AAPL,1.0,1.0,1.0,0.016807085970181213,-0.016198311784576133,-0.03505516032588363,0.01617236273704126
2018-07-03,US.AAPL,1.0,1.0,1.0,-0.0029941867713801917,-0.01448727707706633,-0.05186101660633258,0.01722410364647044
2018-07-05,US.AAPL,1.0,1.0,1.0,0.002519478135258879,-0.010720064724059822,-0.04423136405605732,0.01752581291244403
2018-07-06,US.AAPL,1.0,1.0,1.0,0.013681298775446216,-0.006485077405951309,-0.02837795926740405,0.017549912975966565
2018-07-10,US.AAPL,1.0,1.0,1.0,0.020392179960175394,0.003199369583406024,-0.010037445395583267,0.016017073808614803
2018-07-11,US.AAPL,1.0,1.0,1.0,0.004646687475188482,0.008627847562504056,-0.02288329519481125,0.016695269013265363
2018-07-27,US.AAPL,1.0,1.0,1.0,0.010172604220170411,0.014930882816822793,-0.019710501984791517,0.012908980745677721
2018-07-30,US.AAPL,1.0,1.0,1.0,0.004202729330819555,0.011960928860902102,-0.025202751259155942,0.01374527031664276
2018-07-31,US.AAPL,1.0,1.0,1.0,0.0057887426170968315,0.008271585474141155,-0.02325223281222777,0.013740343686782359
2018-08-21,US.AAPL,1.0,1.0,1.0,0.10496237264639596,0.04366407129605609,-0.01167386708766549,0.01599756698136209
2018-08-22,US.AAPL,1.0,1.0,1.0,0.10235807928782004,0.04327355859106066,-0.011627906992127235,0.014176005153922071
2018-09-06,US.AAPL,1.0,1.0,1.0,0.10274899208296628,0.0402756610484672,-0.023033806274359026,0.016301146185498855
2018-09-07,US.AAPL,1.0,1.0,1.0,0.08978134895645185,0.0342611839128463,-0.030916097382598484,0.016391775868873405
2018-09-10,US.AAPL,1.0,1.0,1.0,0.07162232345785746,0.0237347135079532,-0.04392187774270562,0.017043335448652906
2018-09-11,US.AAPL,1.0,1.0,1.0,0.09448421775580118,0.015773955774714,-0.019749518303324387,0.018082580810097924
2018-09-12,US.AAPL,1.0,1.0,1.0,0.07725284629765872,0.008164834667236874,-0.03192327904212555,0.0191629671285789
